model,avg_rounds,avg_ig
claude-haiku-4.5,4.360377358490566,2.1377129088169884
claude-opus-4.5,4.723584905660378,2.1640303969886645
claude-sonnet-4.5,5.0179245283018865,2.1508762103492556
deepseek-v3.1,5.900943396226415,2.1580103747609143
deepseek-v3.2,4.416981132075471,2.059439321738793
deepseek-v3.2-thinking,4.6056603773584905,1.960009926806655
gemini-2.5-pro,4.508490566037736,2.369198425656033
gemini-3-flash,4.7047169811320755,2.1784471553437235
gemini-3-pro,4.811320754716981,2.119428482649218
gpt-5.1,3.9858490566037736,2.0304131959467533
gpt-5.2,3.758490566037736,2.2304893384462385
kimi-k2-thinking,3.9330188679245284,1.791993625831483
qwen3-max,4.9877358490566035,2.1133721246369506
